VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2)
4,27,2,11,21
4,28,2,14,18
4,29,2,22,10
4,30,2,23,9
4,31,2,27,5
4,32,2,6,26
4,33,2,28,4
4,34,2,27,5
4,35,2,5,27
4,36,2,28,4
4,37,2,24,8
4,38,2,14,18
4,39,2,14,18
4,40,2,16,16
4,41,2,15,17
4,42,2,20,12
4,43,2,19,13
4,44,2,16,16
4,45,2,15,17
4,46,2,16,16
4,47,2,17,15
4,48,2,16,16
4,49,2,15,17
4,50,2,17,15
4,51,2,14,18
4,52,2,18,14
4,53,2,19,13
4,54,2,13,19
4,55,2,13,19
4,56,2,20,12
4,57,2,20,12
4,58,2,22,10
4,59,2,10,22
5,0,2,20,12
5,1,2,19,13
5,2,2,21,11
5,3,2,20,12
5,4,2,30,2
5,5,2,31,1
5,6,2,31,1
5,7,2,29,3
5,8,2,29,3
5,9,2,30,2
5,10,2,30,2
5,11,2,30,2
5,12,2,29,3
5,13,2,26,6
5,14,2,27,5
5,15,2,28,4
5,16,2,27,5
5,17,2,25,7
5,18,2,8,24
5,19,2,25,7
5,20,2,25,7
5,21,2,26,6
5,22,2,28,4
5,23,2,31,1
5,24,2,31,1
5,25,2,1,31
5,26,2,31,1
5,27,2,31,1
5,28,2,31,1
5,29,2,30,2
5,30,2,30,2
5,31,2,30,2
5,32,2,31,1
5,33,2,1,31
5,34,2,2,30
5,35,2,28,4
5,36,2,30,2
5,37,2,29,3
5,38,2,29,3
5,39,2,30,2
5,40,2,30,2
5,41,2,31,1
5,42,2,30,2
5,43,2,28,4
5,44,2,29,3
5,45,2,29,3
5,46,2,31,1
5,47,2,31,1
5,48,2,31,1
5,49,2,31,1
5,50,2,31,1
5,51,2,31,1
5,52,2,31,1
5,53,2,31,1
5,54,2,31,1
5,55,2,29,3
5,56,2,1,31
5,57,2,1,31
5,58,2,30,2
5,59,2,31,1
6,0,2,20,12
6,1,2,10,22
6,2,2,22,10
6,3,2,25,7
6,4,2,24,8
6,5,2,9,23
6,6,2,24,8
6,7,2,25,7
6,8,2,8,24
6,9,2,22,10
6,10,2,19,13
6,11,2,16,16
6,12,2,18,14
6,13,2,21,11
6,14,2,22,10
6,15,2,24,8
6,16,2,10,22
6,17,2,10,22
6,18,2,23,9
6,19,2,6,26
6,20,2,15,17
6,21,2,17,15
6,22,2,19,13
6,23,2,5,27
6,24,2,5,27
6,25,2,25,7
6,26,2,6,26
6,27,2,26,6
6,28,2,26,6
6,29,2,26,6
6,30,2,28,4
6,31,2,22,10
6,32,2,27,5
6,33,2,25,7
6,34,2,7,25
6,35,2,24,8
6,36,2,13,19
6,37,2,28,4
6,38,2,28,4
6,39,2,28,4
6,40,2,29,3
6,41,2,29,3
6,42,2,9,23
6,43,2,23,9
6,44,2,6,26
6,45,2,27,5
6,46,2,25,7
6,47,2,25,7
6,48,2,28,4
6,49,2,29,3
6,50,2,27,5
6,51,2,23,9
6,52,2,24,8
6,53,2,30,2
6,54,2,3,29
6,55,2,30,2
6,56,2,30,2
6,57,2,6,26
6,58,2,5,27
6,59,2,7,25
7,0,2,14,18
7,1,2,20,12
7,2,2,16,16
7,3,2,23,9
7,4,2,24,8
7,5,2,25,7
7,6,2,31,1
7,7,2,31,1
7,8,2,29,3
7,9,2,29,3
7,10,2,30,2
7,11,2,21,11
7,12,2,15,17
7,13,2,19,13
7,14,2,22,10
7,15,2,23,9
7,16,2,11,21
7,17,2,20,12
7,18,2,22,10
7,19,2,24,8
7,20,2,26,6
7,21,2,28,4
7,22,2,30,2
7,23,2,2,30
7,24,2,28,4
7,25,2,29,3
7,26,2,2,30
7,27,2,3,29
7,28,2,12,20
7,29,2,19,13
7,30,2,13,19
7,31,2,27,5
7,32,2,21,11
7,33,2,15,17
7,34,2,15,17
7,35,2,18,14
7,36,2,16,16
7,37,2,16,16
7,38,2,17,15
7,39,2,15,17
7,40,2,17,15
7,41,2,31,1
7,42,2,12,20
7,43,2,15,17
7,44,2,26,6
7,45,2,15,17
7,46,2,26,6
7,47,2,27,5
7,48,2,7,25
7,49,2,9,23
7,50,2,4,28
7,51,2,28,4
7,52,2,15,17
7,53,2,15,17
7,54,2,18,14
7,55,2,9,23
7,56,2,22,10
7,57,2,22,10
7,58,2,22,10
7,59,2,23,9
8,0,2,18,14
8,1,2,24,8
8,2,2,20,12
8,3,2,13,19
8,4,2,14,18
8,5,2,15,17
8,6,2,15,17
8,7,2,16,16
8,8,2,19,13
8,9,2,14,18
8,10,2,12,20
8,11,2,19,13
8,12,2,15,17
8,13,2,22,10
8,14,2,15,17
8,15,2,21,11
8,16,2,18,14
8,17,2,11,21
8,18,2,11,21
8,19,2,24,8
8,20,2,25,7
8,21,2,7,25
8,22,2,23,9
8,23,2,24,8
8,24,2,9,23
8,25,2,6,26
8,26,2,26,6
8,27,2,25,7
8,28,2,11,21
8,29,2,10,22
8,30,2,19,13
8,31,2,21,11
8,32,2,10,22
8,33,2,10,22
8,34,2,24,8
8,35,2,10,22
8,36,2,22,10
8,37,2,22,10
8,38,2,20,12
8,39,2,17,15
8,40,2,19,13
8,41,2,23,9
8,42,2,24,8
8,43,2,26,6
8,44,2,24,8
8,45,2,16,16
8,46,2,25,7
8,47,2,6,26
8,48,2,27,5
8,49,2,28,4
8,50,2,3,29
8,51,2,30,2
8,52,2,3,29
8,53,2,26,6
8,54,2,28,4
8,55,2,21,11
8,56,2,19,13
8,57,2,11,21
8,58,2,19,13
8,59,2,20,12
